",""FECHA"",""DESDE"",""HASTA"",""LINEA"",""MOLINETE"",""ID_ESTACION"",""ESTACION"",""PAX_PAGOS"",""PAX_PASES_PAGOS"",""PAX_FREQ"",""TOTAL"""
"1,""2019-09-01"",""05:15:00"",""05:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",1,0,0,1"
"2,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",3,0,0,3"
"3,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"4,""2019-09-01"",""05:30:00"",""05:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",5,0,0,5"
"5,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",1,0,0,1"
"6,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",1,0,0,1"
"7,""2019-09-01"",""05:45:00"",""06:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",6,0,0,6"
"8,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",9,0,0,9"
"9,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"10,""2019-09-01"",""06:00:00"",""06:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",6,0,0,6"
"11,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",12,0,0,12"
"12,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"13,""2019-09-01"",""06:15:00"",""06:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"14,""2019-09-01"",""06:30:00"",""06:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",10,0,0,10"
"15,""2019-09-01"",""06:30:00"",""06:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",12,0,0,12"
"16,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",22,0,0,22"
"17,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"18,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",18,0,0,18"
"19,""2019-09-01"",""06:45:00"",""07:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"20,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",27,0,0,27"
"21,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"22,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"23,""2019-09-01"",""07:00:00"",""07:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,0,0,27"
"24,""2019-09-01"",""07:15:00"",""07:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",16,0,1,17"
"25,""2019-09-01"",""07:15:00"",""07:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",9,0,1,10"
"26,""2019-09-01"",""07:15:00"",""07:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",5,0,0,5"
"27,""2019-09-01"",""07:15:00"",""07:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",24,0,0,24"
"28,""2019-09-01"",""07:30:00"",""07:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",37,0,0,37"
"29,""2019-09-01"",""07:30:00"",""07:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",2,0,0,2"
"30,""2019-09-01"",""07:30:00"",""07:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",15,0,0,15"
"31,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",1,0,1,2"
"32,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",18,0,0,18"
"33,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"34,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",10,0,0,10"
"35,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",30,0,1,31"
"36,""2019-09-01"",""07:45:00"",""08:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"37,""2019-09-01"",""08:00:00"",""08:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,1,4"
"38,""2019-09-01"",""08:00:00"",""08:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",19,0,0,19"
"39,""2019-09-01"",""08:00:00"",""08:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",21,0,1,22"
"40,""2019-09-01"",""08:00:00"",""08:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",37,0,0,37"
"41,""2019-09-01"",""08:00:00"",""08:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",48,0,1,49"
"42,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"43,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"44,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",16,0,0,16"
"45,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",26,0,0,26"
"46,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",41,0,0,41"
"47,""2019-09-01"",""08:15:00"",""08:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",54,0,1,55"
"48,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",34,0,2,36"
"49,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",18,0,0,18"
"50,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"51,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",60,0,0,60"
"52,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",26,0,0,26"
"53,""2019-09-01"",""08:30:00"",""08:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",6,0,0,6"
"54,""2019-09-01"",""08:45:00"",""09:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",27,0,2,29"
"55,""2019-09-01"",""08:45:00"",""09:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",17,0,0,17"
"56,""2019-09-01"",""08:45:00"",""09:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",5,0,0,5"
"57,""2019-09-01"",""08:45:00"",""09:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",46,0,0,46"
"58,""2019-09-01"",""08:45:00"",""09:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",28,0,0,28"
"59,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"60,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",4,0,0,4"
"61,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",7,0,1,8"
"62,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",29,0,1,30"
"63,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"64,""2019-09-01"",""09:00:00"",""09:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",46,0,0,46"
"65,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,0,0,27"
"66,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"67,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",22,0,0,22"
"68,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",36,0,0,36"
"69,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",6,0,0,6"
"70,""2019-09-01"",""09:15:00"",""09:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",58,0,1,59"
"71,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",0,0,0,0"
"72,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",8,0,0,8"
"73,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",46,0,0,46"
"74,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",37,0,3,40"
"75,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",1,0,0,1"
"76,""2019-09-01"",""09:30:00"",""09:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",18,0,0,18"
"77,""2019-09-01"",""09:45:00"",""10:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",4,0,0,4"
"78,""2019-09-01"",""09:45:00"",""10:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",4,0,0,4"
"79,""2019-09-01"",""09:45:00"",""10:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",41,1,1,43"
"80,""2019-09-01"",""09:45:00"",""10:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",39,0,1,40"
"81,""2019-09-01"",""09:45:00"",""10:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",21,0,0,21"
"82,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",14,0,0,14"
"83,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"84,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",50,0,3,53"
"85,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",30,0,1,31"
"86,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",8,0,1,9"
"87,""2019-09-01"",""10:00:00"",""10:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",15,0,1,16"
"88,""2019-09-01"",""10:15:00"",""10:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",24,0,3,27"
"89,""2019-09-01"",""10:15:00"",""10:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",4,0,1,5"
"90,""2019-09-01"",""10:15:00"",""10:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",38,0,1,39"
"91,""2019-09-01"",""10:15:00"",""10:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",14,0,0,14"
"92,""2019-09-01"",""10:15:00"",""10:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"93,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"94,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,0,23"
"95,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",14,0,1,15"
"96,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"97,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",55,0,1,56"
"98,""2019-09-01"",""10:30:00"",""10:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",33,0,2,35"
"99,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",21,0,1,22"
"100,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",8,0,1,9"
"101,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",15,0,1,16"
"102,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"103,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",36,0,2,38"
"104,""2019-09-01"",""10:45:00"",""11:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",27,0,2,29"
"105,""2019-09-01"",""11:00:00"",""11:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",40,0,0,40"
"106,""2019-09-01"",""11:00:00"",""11:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",17,0,0,17"
"107,""2019-09-01"",""11:00:00"",""11:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",31,0,2,33"
"108,""2019-09-01"",""11:00:00"",""11:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",12,0,1,13"
"109,""2019-09-01"",""11:00:00"",""11:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",16,0,0,16"
"110,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",12,0,1,13"
"111,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",5,0,0,5"
"112,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",54,0,1,55"
"113,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",41,0,0,41"
"114,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",19,0,0,19"
"115,""2019-09-01"",""11:15:00"",""11:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",17,0,0,17"
"116,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",22,0,0,22"
"117,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,0,0,27"
"118,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",10,0,2,12"
"119,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",24,0,0,24"
"120,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"121,""2019-09-01"",""11:30:00"",""11:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",40,0,1,41"
"122,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",13,0,3,16"
"123,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",31,0,0,31"
"124,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",44,0,5,49"
"125,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"126,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",20,0,1,21"
"127,""2019-09-01"",""11:45:00"",""12:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",14,0,2,16"
"128,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",18,0,2,20"
"129,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",13,0,0,13"
"130,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",30,0,0,30"
"131,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",15,0,3,18"
"132,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",42,0,0,42"
"133,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"134,""2019-09-01"",""12:00:00"",""12:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",15,0,0,15"
"135,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",25,0,3,28"
"136,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,1,8"
"137,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",11,0,0,11"
"138,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"139,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",48,0,5,53"
"140,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",17,0,0,17"
"141,""2019-09-01"",""12:15:00"",""12:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",24,0,2,26"
"142,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",8,0,1,9"
"143,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,1,4"
"144,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",11,0,0,11"
"145,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",18,0,2,20"
"146,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",22,0,1,23"
"147,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",41,0,3,44"
"148,""2019-09-01"",""12:30:00"",""12:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",21,0,2,23"
"149,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",5,0,1,6"
"150,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",27,0,1,28"
"151,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,2,25"
"152,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",14,0,0,14"
"153,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",50,0,0,50"
"154,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,1,4"
"155,""2019-09-01"",""12:45:00"",""13:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",17,0,5,22"
"156,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",12,0,1,13"
"157,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"158,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"159,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",67,0,2,69"
"160,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",23,0,2,25"
"161,""2019-09-01"",""13:00:00"",""13:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",47,0,1,48"
"162,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",9,0,0,9"
"163,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"164,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",15,0,0,15"
"165,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"166,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",61,0,5,66"
"167,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"168,""2019-09-01"",""13:15:00"",""13:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",32,0,2,34"
"169,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"170,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",21,0,3,24"
"171,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",5,0,0,5"
"172,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",14,0,0,14"
