",""FECHA"",""DESDE"",""HASTA"",""LINEA"",""MOLINETE"",""ID_ESTACION"",""ESTACION"",""PAX_PAGOS"",""PAX_PASES_PAGOS"",""PAX_FREQ"",""TOTAL"""
"173,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",59,0,1,60"
"174,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",20,0,1,21"
"175,""2019-09-01"",""13:30:00"",""13:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",27,0,1,28"
"176,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",17,0,0,17"
"177,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",5,0,0,5"
"178,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",40,0,2,42"
"179,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"180,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",26,0,0,26"
"181,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",11,0,0,11"
"182,""2019-09-01"",""13:45:00"",""14:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",29,0,3,32"
"183,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,0,2"
"184,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",55,0,1,56"
"185,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",38,0,1,39"
"186,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",22,0,0,22"
"187,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",30,0,4,34"
"188,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",13,0,1,14"
"189,""2019-09-01"",""14:00:00"",""14:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",13,0,0,13"
"190,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",1,0,0,1"
"191,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",12,0,2,14"
"192,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,0,2,29"
"193,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",30,0,1,31"
"194,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",13,0,1,14"
"195,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",52,0,2,54"
"196,""2019-09-01"",""14:15:00"",""14:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",11,0,2,13"
"197,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,1,24"
"198,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",35,0,0,35"
"199,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",9,0,0,9"
"200,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"201,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",45,0,4,49"
"202,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",3,0,0,3"
"203,""2019-09-01"",""14:30:00"",""14:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",15,0,0,15"
"204,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"205,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",13,0,3,16"
"206,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"207,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",8,0,0,8"
"208,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",56,0,3,59"
"209,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",38,0,0,38"
"210,""2019-09-01"",""14:45:00"",""15:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",27,1,2,30"
"211,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",41,0,1,42"
"212,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",4,0,0,4"
"213,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",52,0,6,58"
"214,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",19,0,2,21"
"215,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",8,0,1,9"
"216,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",18,0,1,19"
"217,""2019-09-01"",""15:00:00"",""15:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",31,0,1,32"
"218,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",51,0,3,54"
"219,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",65,0,7,72"
"220,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",33,0,2,35"
"221,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",12,0,0,12"
"222,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",20,0,1,21"
"223,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",6,0,0,6"
"224,""2019-09-01"",""15:15:00"",""15:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"225,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",9,0,0,9"
"226,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",39,0,2,41"
"227,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",59,0,2,61"
"228,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",37,0,1,38"
"229,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"230,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",29,0,0,29"
"231,""2019-09-01"",""15:30:00"",""15:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",6,0,0,6"
"232,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",11,0,1,12"
"233,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",7,0,0,7"
"234,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",21,0,0,21"
"235,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",9,0,2,11"
"236,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",19,0,0,19"
"237,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",45,0,1,46"
"238,""2019-09-01"",""15:45:00"",""16:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",63,0,0,63"
"239,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",15,0,2,17"
"240,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",30,0,2,32"
"241,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",10,0,0,10"
"242,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",45,0,4,49"
"243,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",24,0,0,24"
"244,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",9,0,1,10"
"245,""2019-09-01"",""16:00:00"",""16:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",51,0,0,51"
"246,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",9,0,0,9"
"247,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",54,0,0,54"
"248,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",46,0,3,49"
"249,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",10,0,0,10"
"250,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",17,0,0,17"
"251,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",3,0,0,3"
"252,""2019-09-01"",""16:15:00"",""16:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",62,0,3,65"
"253,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",7,0,0,7"
"254,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",14,1,1,16"
"255,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",34,0,1,35"
"256,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",54,0,1,55"
"257,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,2,4"
"258,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",15,0,0,15"
"259,""2019-09-01"",""16:30:00"",""16:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",24,0,2,26"
"260,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",36,0,0,36"
"261,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",20,0,1,21"
"262,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",14,0,0,14"
"263,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",49,0,0,49"
"264,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",5,0,0,5"
"265,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",53,0,0,53"
"266,""2019-09-01"",""16:45:00"",""17:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",20,0,0,20"
"267,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",41,0,1,42"
"268,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",22,0,0,22"
"269,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",76,0,0,76"
"270,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",16,0,0,16"
"271,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",8,0,0,8"
"272,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",29,0,0,29"
"273,""2019-09-01"",""17:00:00"",""17:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",56,0,1,57"
"274,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",21,0,0,21"
"275,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",39,0,2,41"
"276,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",74,0,3,77"
"277,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",11,0,1,12"
"278,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",8,0,0,8"
"279,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",33,0,2,35"
"280,""2019-09-01"",""17:15:00"",""17:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",54,0,0,54"
"281,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",14,0,0,14"
"282,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",57,0,0,57"
"283,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",70,0,4,74"
"284,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",57,0,0,57"
"285,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",38,0,0,38"
"286,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",15,0,0,15"
"287,""2019-09-01"",""17:30:00"",""17:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",12,1,2,15"
"288,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",33,0,2,35"
"289,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",43,0,0,43"
"290,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",8,0,0,8"
"291,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",69,0,1,70"
"292,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",10,0,0,10"
"293,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",60,1,1,62"
"294,""2019-09-01"",""17:45:00"",""18:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",18,0,0,18"
"295,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",75,0,3,78"
"296,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",72,0,1,73"
"297,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",101,0,1,102"
"298,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",20,0,0,20"
"299,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",24,0,2,26"
"300,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",49,0,1,50"
"301,""2019-09-01"",""18:00:00"",""18:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",34,1,0,35"
"302,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",60,0,0,60"
"303,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",63,0,2,65"
"304,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",15,0,0,15"
"305,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",83,0,1,84"
"306,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",15,0,0,15"
"307,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",38,0,0,38"
"308,""2019-09-01"",""18:15:00"",""18:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",21,0,0,21"
"309,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",61,1,1,63"
"310,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",10,0,0,10"
"311,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",32,0,1,33"
"312,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",40,0,1,41"
"313,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",12,0,0,12"
"314,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",12,0,0,12"
"315,""2019-09-01"",""18:30:00"",""18:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",77,0,1,78"
"316,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",4,0,0,4"
"317,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",37,0,0,37"
"318,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",30,0,0,30"
"319,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",37,0,0,37"
"320,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",11,0,0,11"
"321,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",8,0,1,9"
"322,""2019-09-01"",""18:45:00"",""19:00:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",68,0,0,68"
"323,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",4,0,0,4"
"324,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",25,0,0,25"
"325,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",27,0,0,27"
"326,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",17,0,1,18"
"327,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",51,0,2,53"
"328,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",35,0,0,35"
"329,""2019-09-01"",""19:00:00"",""19:15:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",0,0,0,0"
"330,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",25,0,0,25"
"331,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",16,0,1,17"
"332,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",8,0,1,9"
"333,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",2,0,1,3"
"334,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",38,0,2,40"
"335,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",1,0,0,1"
"336,""2019-09-01"",""19:15:00"",""19:30:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",11,0,1,12"
"337,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_S_Turn02"",6,""9 DE JULIO"",20,0,0,20"
"338,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_S_Turn03"",6,""9 DE JULIO"",7,0,0,7"
"339,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_SO_Turn01"",6,""9 DE JULIO"",29,0,2,31"
"340,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_N_Turn02"",6,""9 DE JULIO"",4,0,0,4"
"341,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",12,0,2,14"
"342,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_N_Turn01"",6,""9 DE JULIO"",3,0,0,3"
"343,""2019-09-01"",""19:30:00"",""19:45:00"",""D"",""LineaD_9Julio_S_Turn01"",6,""9 DE JULIO"",23,0,0,23"
"344,""2019-09-01"",""19:45:00"",""20:00:00"",""D"",""LineaD_9Julio_SO_Turn02"",6,""9 DE JULIO"",0,0,1,1"
